Kabupaten/ Kota,new_cases,hospitalization_rate,mortality,testing,tracing_ratio,bed_occupancy_rate,vaksin_umum,vaksin_lansia,ppkm
MAPPI,0,,0,0,0,0,34.05,22.45,3
MANOKWARI SELATAN,0,,0,0,0,0,24.84,16.52,3
MANOKWARI,0,,0,0,0,0,57.83,27.76,3
MANGGARAI,0,,0,0,0,0,69.61,46.88,2
MANDAILING NATAL,0,,0,0,0,0,71.81,74.28,2
MAMUJU TENGAH,0,,0,0,0,0,45.05,68.69,3
MAMUJU,0,,0,0,0,0,50.28,45.3,2
MAMBERAMO TENGAH,0,,0,0,0,0,2.84,1.07,3
MAMBERAMO RAYA,0,,0,0,0,,5.51,0.86,3
MAMASA,0,,0,0,0,0,62.07,62.73,2
MALUKU TENGGARA,0,,0,0,0,0,48.32,42.76,3
MALUKU TENGAH,0,,0,0,0,1.2,35.22,27.01,3
MALUKU BARAT DAYA,0,,0,0,0,0,50.34,32.68,3
MALAKA,0,,0,0,0,0,58.29,48.52,2
MAJENE,0,,0,0,0,0,47.92,57.47,3
MAHAKAM ULU,0,,0,0,0,0,71.64,85.25,2
MAGELANG,0,,0,0,0,0,68.96,60.95,2
LUWU,0,,0,0,0,0,70.24,84.05,2
LUMAJANG,0,,0,0,0,0,58.8,53.54,2
LOMBOK TENGAH,0,,0,0,0,0,74.71,73.9,2
LOMBOK BARAT,0,,0,0,0,0.2,70.4,65.76,2
LINGGA,0,,0,0,0,0,57.22,83.27,2
LIMA PULUH KOTA,0,,0,0,0,0,71.62,88.36,2
LEMBATA,0,,0,0,0,0,71.57,61.82,2
LEBONG,0,,0,0,0,0,72.21,67.19,2
LEBAK,0,,0,0,0,0,62.03,80.48,2
LANNY JAYA,0,,0,0,0,0,1.07,0.12,3
LANGKAT,0,,0,0,0,0,75.66,76.45,2
LANDAK,0,,0,0,0,0,70.23,57.12,2
LAMPUNG TENGAH,0,,0,0,0,2.96,63.37,81.82,2
LAMANDAU,0,,0,0,0,0.48,81.42,61.2,2
LAHAT,0,,0,0,0,15.71,71.45,71.74,2
LABUHANBATU,0,0.19,0,0,0,0,69.64,74.77,2
KUPANG,0,,0,0,0,0,55.13,42.19,2
KUNINGAN,0,,0,0,0,0,77.4,88.88,2
KUDUS,0,,0,0,0,0.11,76.92,66.21,2
KUBU RAYA,0,,0,0,0,0,58.29,44.34,2
KOTAWARINGIN TIMUR,0,0.21,0,0,0,0,72.37,50.59,2
KOTAWARINGIN BARAT,0,,0,0,0,0,87.83,68.56,2
KOTABARU,0,,0,0,0,7.14,68.28,63.41,2
KOTA TUAL,0,,0,0,0,0,42.21,32.43,3
KOTA TIDORE KEPULAUAN,0,,0,0,0,0,43.29,26.06,3
KOTA TERNATE,0,,0,0,0,0,58.83,29.89,3
KOTA TANJUNG BALAI,0,,0,0,0,0,72.61,78.06,2
KOTA SUNGAI PENUH,0,,0,0,0,0,68.27,53.47,2
KOTA SUBULUSSALAM,0,,0,0,0,0,75.54,97.32,2
KOTA SOLOK,0,,0,0,0,11.11,108.33,186.77,2
KOTA SINGKAWANG,0,,0,0,0,0,73.3,50.59,2
KOTA SIBOLGA,0,,0,0,0,0,100.04,81.69,2
KOTA SAWAHLUNTO,0,,0,0,0,0,87.9,87.77,2
KOTA PROBOLINGGO,0,,0,0,0,0,76.56,55.27,2
KOTA PEKALONGAN,0,,0,0,0,0,82.58,64.72,2
KOTA PAYAKUMBUH,0,,0,0,0,3.01,82.51,99.06,2
KOTA PARIAMAN,0,,0,0,0,0,90.66,120.11,2
KOTA PARE PARE,0,,0,0,0,0,72.45,55.85,2
KOTA PANGKAL PINANG,0,0.92,0,0,0,2.22,84.55,80.14,2
KOTA PALOPO,0,,0,0,0,0,65.55,48.82,2
KOTA PAGAR ALAM,0,,0,0,0,0,66.58,55.44,2
KOTA PADANG PANJANG,0,,0,0,0,0,123.17,300.86,2
KOTA METRO,0,1.13,0,0,0,1.05,104.45,69.1,2
KOTA MATARAM,0,,0,0,0,0,81.95,54.57,2
KOTA MALANG,0,,0,0,0,1.96,100.62,66.9,2
KOTA MAKASSAR,0,,0,0,0,0.44,71.9,46.55,2
KOTA LUBUK LINGGAU,0,,0,0,0,0,64.97,47.87,2
KOTA LHOKSEUMAWE,0,,0,0,0,0,79.34,70.34,2
KOTA LANGSA,0,,0,0,0,0,78.81,72.78,2
KOTA KOTAMOBAGU,0,,0,0,0,0,65.4,51.09,2
KOTA JAYAPURA,0,,0,0,0,6.13,57.36,29.77,3
KOTA GUNUNGSITOLI,0,,0,0,0,0,81.64,79.12,2
KOTA GORONTALO,0,,0,0,0,0,69.44,45.83,2
KOTA CIREBON,0,,0,0,0,0,92.18,70.2,2
KOTA CILEGON,0,,0,0,0,0,76.93,52.06,2
KOTA BUKITTINGGI,0,,0,0,0,0,81.58,110.16,2
KOTA BLITAR,0,,0,0,0,0,110.12,80.45,2
KOTA BITUNG,0,,0,0,0,1.61,72.61,65.79,2
KOTA BINJAI,0,,0,0,0,0,81.29,84.17,2
KOTA BIMA,0,,0,0,0,0,74.88,79.21,2
KOTA BAU BAU,0,,0,0,0,3.33,58.84,33.61,3
